"simID","Us","tc"
68,0.331464503027952,0
68,0.55207138553691,76
68,0.798371656361586,95.5
68,0.9,152
69,0.339565850006446,0
69,0.562825900902,76
69,0.80791896040489,95.5
69,0.9,152
70,0.518644355390597,0
70,0.767653193789387,76
70,0.9,95.5
70,0.9,152
71,0.517399733054034,0
71,0.766453320942819,76
71,0.9,95.5
71,0.9,152
72,0.354766647320158,0
72,0.58265228162488,76
72,0.82491514149895,95.5
72,0.9,152
73,0.403196507038218,0
73,0.643066164555768,76
73,0.872081053300111,95.5
73,0.9,152
74,0.427578180536153,0
74,0.671702568262044,76
74,0.89184763478687,95.5
74,0.9,152
75,0.481615350701882,0
75,0.730633887715824,76
75,0.9,95.5
75,0.9,152
76,0.508561430878391,0
76,0.757843906736959,76
76,0.9,95.5
76,0.9,152
77,0.502968081353542,0
77,0.752314896068823,76
77,0.9,95.5
77,0.9,152
78,0.456045368067023,0
78,0.70333028054438,76
78,0.9,95.5
78,0.9,152
79,0.491757107256963,0
79,0.741044970583331,76
79,0.9,95.5
79,0.9,152
80,0.408465718334843,0
80,0.649324619815261,76
80,0.876522692519907,95.5
80,0.9,152
81,0.42883627974119,0
81,0.67299890708503,76
81,0.892615913519923,95.5
81,0.9,152
82,0.284406810852084,0
82,0.48701832426077,76
82,0.735707014369588,95.5
82,0.9,152
83,0.353480992271197,0
83,0.580993213839129,76
83,0.823522970750866,95.5
83,0.9,152
84,0.40164023974634,0
84,0.641207134162548,76
84,0.870746611292326,95.5
84,0.9,152
85,0.514965476329306,0
85,0.764097653840671,76
85,0.9,95.5
85,0.9,152
86,0.427380765000114,0
86,0.671334779385894,76
86,0.891521304586172,95.5
86,0.9,152
87,0.446769805123291,0
87,0.693299402035242,76
87,0.9,95.5
87,0.9,152
88,0.299543559474214,0
88,0.508424558108452,76
88,0.757257842885568,95.5
88,0.9,152
89,0.457766009997974,0
89,0.705342619232731,76
89,0.9,95.5
89,0.9,152
90,0.424806690348156,0
90,0.668381433372471,76
90,0.889565051980984,95.5
90,0.9,152
91,0.321984245068994,0
91,0.53932043324347,76
91,0.786753233357256,95.5
91,0.9,152
92,0.499022866704513,0
92,0.748377527302941,76
92,0.9,95.5
92,0.9,152
93,0.280271268372231,0
93,0.481090536004455,76
93,0.72957791438885,95.5
93,0.9,152
94,0.416141771585522,0
94,0.658342722906029,76
94,0.882785138918281,95.5
94,0.9,152
95,0.508125965628599,0
95,0.757415690833793,76
95,0.9,95.5
95,0.9,152
96,0.43626853570778,0
96,0.681430549615553,76
96,0.898076836413849,95.5
96,0.9,152
97,0.357807257208417,0
97,0.586562927058191,76
97,0.82817494273737,95.5
97,0.9,152
98,0.290939733541535,0
98,0.496313074205004,76
98,0.745176609139291,95.5
98,0.9,152
99,0.518023246257899,0
99,0.767054802456279,76
99,0.9,95.5
99,0.9,152
100,0.344796678514128,0
100,0.569700383050138,76
100,0.813900924904153,95.5
100,0.9,152
101,0.465552772644362,0
101,0.713724922265102,76
101,0.9,95.5
101,0.9,152
102,0.353767355201041,0
102,0.581363034480714,76
102,0.823833773413601,95.5
102,0.9,152
103,0.480784269434094,0
103,0.72977164023732,76
103,0.9,95.5
103,0.9,152
104,0.434837162696058,0
104,0.679815267895284,76
104,0.897041679288187,95.5
104,0.9,152
105,0.440962599225569,0
105,0.686699063127696,76
105,0.9,95.5
105,0.9,152
106,0.46968474772707,0
106,0.717979406765419,76
106,0.9,95.5
106,0.9,152
107,0.246346891115761,0
107,0.431178726479449,76
107,0.675198984726188,95.5
107,0.9,152
108,0.427745683776742,0
108,0.67175239720098,76
108,0.891796520577102,95.5
108,0.9,152
109,0.478435858533513,0
109,0.727327714503025,76
109,0.9,95.5
109,0.9,152
110,0.499893887174961,0
110,0.749249486366745,76
110,0.9,95.5
110,0.9,152
111,0.468227096582246,0
111,0.716431544014579,76
111,0.9,95.5
111,0.9,152
112,0.520930539717011,0
112,0.769849128708173,76
112,0.9,95.5
112,0.9,152
113,0.517934320492915,0
113,0.766969066277606,76
113,0.9,95.5
113,0.9,152
114,0.505931187123823,0
114,0.75525169164404,76
114,0.9,95.5
114,0.9,152
115,0.290017369729696,0
115,0.495005928206853,76
115,0.743855266422456,95.5
115,0.9,152
116,0.281231966504048,0
116,0.482470614364592,76
116,0.731011106481561,95.5
116,0.9,152
117,0.359754373026938,0
117,0.589057519211371,76
117,0.830238419233546,95.5
117,0.9,152
118,0.318522382264139,0
118,0.534619621338716,76
118,0.782388181953436,95.5
118,0.9,152
119,0.36104268765755,0
119,0.590703923381782,76
119,0.831593488317108,95.5
119,0.9,152
120,0.448773497988857,0
120,0.695511849991602,76
120,0.9,95.5
120,0.9,152
121,0.499521147932955,0
121,0.748876530719347,76
121,0.9,95.5
121,0.9,152
122,0.359625114024421,0
122,0.588892150003225,76
122,0.830102013510678,95.5
122,0.9,152
123,0.277690511918745,0
123,0.477374085055287,76
123,0.725699585782695,95.5
123,0.9,152
124,0.499893887174197,0
124,0.749249486366696,76
124,0.9,95.5
124,0.9,152
