"simID","Us","tc"
100,0.9,152
101,0.9,0
101,0.9,76
101,0.9,95.5
101,0.9,152
102,0.9,0
102,0.9,76
102,0.9,95.5
102,0.9,152
103,0.9,0
103,0.9,76
103,0.9,95.5
103,0.9,152
104,0.9,0
104,0.9,76
104,0.9,95.5
104,0.9,152
105,0.9,0
105,0.9,76
105,0.9,95.5
105,0.9,152
106,0.9,0
106,0.9,76
106,0.9,95.5
106,0.9,152
107,0.9,0
107,0.9,76
107,0.9,95.5
107,0.9,152
108,0.9,0
108,0.9,76
108,0.9,95.5
108,0.9,152
109,0.9,0
109,0.9,76
109,0.9,95.5
109,0.9,152
110,0.9,0
110,0.9,76
110,0.9,95.5
110,0.9,152
111,0.9,0
111,0.9,76
111,0.9,95.5
111,0.9,152
112,0.9,0
112,0.9,76
112,0.9,95.5
112,0.9,152
113,0.9,0
113,0.9,76
113,0.9,95.5
113,0.9,152
114,0.9,0
114,0.9,76
114,0.9,95.5
114,0.9,152
115,0.9,0
115,0.9,76
115,0.9,95.5
115,0.9,152
116,0.9,0
116,0.9,76
116,0.9,95.5
116,0.9,152
117,0.9,0
117,0.9,76
117,0.9,95.5
117,0.9,152
118,0.9,0
118,0.9,76
118,0.9,95.5
118,0.9,152
119,0.9,0
119,0.9,76
119,0.9,95.5
119,0.9,152
120,0.9,0
120,0.9,76
120,0.9,95.5
120,0.9,152
121,0.9,0
121,0.9,76
121,0.9,95.5
121,0.9,152
122,0.9,0
122,0.9,76
122,0.9,95.5
122,0.9,152
123,0.9,0
123,0.9,76
123,0.9,95.5
123,0.9,152
124,0.9,0
124,0.9,76
124,0.9,95.5
124,0.9,152
125,0.9,0
125,0.9,76
125,0.9,95.5
125,0.9,152
126,0.9,0
126,0.9,76
126,0.9,95.5
126,0.9,152
127,0.9,0
127,0.9,76
127,0.9,95.5
127,0.9,152
128,0.9,0
128,0.9,76
128,0.9,95.5
128,0.9,152
129,0.9,0
129,0.9,76
129,0.9,95.5
129,0.9,152
130,0.9,0
130,0.9,76
130,0.9,95.5
130,0.9,152
131,0.9,0
131,0.9,76
131,0.9,95.5
131,0.9,152
132,0.9,0
132,0.9,76
132,0.9,95.5
132,0.9,152
133,0.9,0
133,0.9,76
133,0.9,95.5
133,0.9,152
134,0.9,0
134,0.9,76
134,0.9,95.5
134,0.9,152
135,0.9,0
135,0.9,76
135,0.9,95.5
135,0.9,152
136,0.9,0
136,0.9,76
136,0.9,95.5
136,0.9,152
137,0.9,0
137,0.9,76
137,0.9,95.5
137,0.9,152
138,0.9,0
138,0.9,76
138,0.9,95.5
138,0.9,152
139,0.9,0
139,0.9,76
139,0.9,95.5
139,0.9,152
140,0.9,0
140,0.9,76
140,0.9,95.5
140,0.9,152
